Step,Framework,Dataset,Optimization,Duration (s),Energy (Wh),CO2 (kg),Memory (MB),Total rows analysed,Efficiency ratio
Load data,Pandas,100%,Baseline (full dataset),30.427,0.130383,3e-05,31441.1,212404,6991754855.684094
Data cleaning,Pandas,100%,Baseline (full dataset),2.656,0.009495,2e-06,30931.54,212404,96010738179.22871
Join datasets,Pandas,100%,Baseline (full dataset),1.905,0.007827,2e-06,31230.34,3000000,1645020452765.7612
Average rating per author,Pandas,100%,Baseline (full dataset),7.303,0.02869,7e-06,28890.8,153530,22967311619.776794
Number of reviews per publisher,Pandas,100%,Baseline (full dataset),0.306,0.001261,0.0,28417.72,16017,54531004797.32739
Top 10 most-reviewed categories,Pandas,100%,Baseline (full dataset),4.629,0.017481,4e-06,28715.49,10,2455182.772863
Average review length,Pandas,100%,Baseline (full dataset),23.745,0.072612,1.7e-05,28164.58,3000000,177320007412.40817
Most frequent keywords,Pandas,100%,Baseline (full dataset),101.577,1.271967,0.000296,18793.36,0,0.0
Load data,Pandas,10%,Reduced dataset (10%),15.589,0.10742,2.5e-05,24823.83,21240,848619859.009028
Data cleaning,Pandas,10%,Reduced dataset (10%),0.558,0.002303,1e-06,24941.66,21240,39587337579.00968
Join datasets,Pandas,10%,Reduced dataset (10%),1.63,0.013514,3e-06,22246.13,30020,9533947432.110891
Average rating per author,Pandas,10%,Reduced dataset (10%),0.126,0.000516,0.0,22033.16,8035,66811453190.665634
Number of reviews per publisher,Pandas,10%,Reduced dataset (10%),0.022,7.2e-05,0.0,21969.0,2070,123359520417.84995
Top 10 most-reviewed categories,Pandas,10%,Reduced dataset (10%),0.088,0.000345,0.0,22094.55,10,124483291.565852
Average review length,Pandas,10%,Reduced dataset (10%),0.244,0.000996,0.0,24032.12,30020,129352452866.71884
Most frequent keywords,Pandas,10%,Reduced dataset (10%),1.003,0.004169,1e-06,24064.66,10,10293991.310394
